G_1,G_2,G_3,G_4,G_5,T
1,0,0,0,0,0
1,1,1,0,0,0
0,0,1,1,1,1
0,0,1,1,1,1
1,1,0,1,1,1
1,1,0,1,0,0
1,0,0,1,0,0
1,1,1,1,1,1
0,0,0,1,0,0
0,0,1,1,1,1
1,0,0,1,0,0
1,0,1,1,0,0
1,0,1,1,0,0
1,0,0,1,0,0
0,1,0,1,0,0
1,0,1,1,0,0
1,1,1,1,1,1
0,1,0,1,0,0
0,0,1,1,1,1
1,0,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,0,0,0
1,0,1,1,1,1
1,0,0,0,0,0
1,1,0,1,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,1,1,1,1
1,0,1,0,0,0
1,1,0,1,0,0
1,0,1,1,1,1
1,1,0,1,0,0
1,1,1,1,1,1
0,0,1,1,1,0
1,0,0,1,0,0
1,1,1,1,0,0
1,0,0,0,0,0
1,1,1,1,0,0
1,0,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,0,0
0,1,0,1,0,0
1,1,1,0,0,0
1,1,1,1,0,0
1,1,1,0,0,0
1,0,1,1,1,1
0,0,0,1,0,0
1,1,1,1,0,0
1,1,0,1,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,1,1,0,0,0
1,0,0,1,0,0
1,0,1,1,1,1
0,0,1,1,1,1
0,0,0,1,0,0
1,1,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
1,1,0,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
0,0,0,1,0,0
0,0,0,0,0,0
0,1,0,1,0,0
1,0,1,1,1,1
0,1,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
0,0,1,1,1,1
1,0,1,0,0,0
1,0,1,1,1,0
1,1,0,0,0,0
1,1,1,1,1,1
1,1,1,1,0,0
1,0,1,1,1,1
0,0,0,1,0,0
1,0,1,1,1,1
0,0,0,1,0,0
0,1,1,1,1,1
1,1,0,1,0,0
1,0,1,1,1,1
1,1,0,1,0,0
1,1,1,1,1,1
0,0,1,1,0,0
0,0,1,0,0,0
1,1,1,1,1,1
1,1,1,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,1,0,1,0,0
0,0,0,1,0,0
0,0,1,1,1,1
0,1,1,1,1,1
1,0,1,0,0,0
1,1,0,1,0,0
0,0,1,0,0,0
1,0,1,1,1,1
1,0,1,0,0,0
1,0,0,1,0,0
1,1,0,1,0,1
1,0,1,1,1,1
1,1,0,1,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,1,1,1,1
1,0,1,0,0,0
1,1,1,1,1,0
0,0,0,1,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
1,0,0,1,0,0
0,0,1,1,1,1
1,0,1,1,0,0
1,0,1,1,1,1
0,0,0,1,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,1,1,0,0
0,0,1,1,1,1
1,1,0,0,0,0
1,0,0,0,0,0
1,1,1,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,0,1,0,0
1,1,1,1,1,1
0,0,0,1,0,0
1,0,1,1,1,1
1,0,0,1,0,0
0,1,1,1,1,1
1,1,0,1,0,0
0,1,0,1,0,0
1,0,1,1,1,1
0,0,1,1,1,1
1,0,0,1,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,0,1,0,0,0
1,0,1,1,1,1
1,0,1,0,0,0
1,1,1,1,1,1
0,0,1,1,1,1
1,0,0,1,0,0
0,0,0,0,0,0
1,1,1,0,0,0
1,0,0,1,0,0
0,0,0,0,0,0
1,0,1,1,1,0
1,0,1,1,1,1
1,1,1,1,1,1
0,0,1,1,1,1
0,0,1,1,1,1
1,0,0,1,0,0
0,0,0,1,0,0
0,1,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,1,1,1,1,0
1,0,1,0,0,0
1,1,1,1,1,1
0,0,0,1,0,0
0,1,0,1,0,0
0,0,1,1,1,1
0,1,1,0,0,0
1,1,0,1,0,0
1,1,1,0,0,0
1,1,0,0,0,0
1,0,1,1,1,1
1,0,0,1,0,0
0,1,1,1,1,1
0,0,0,1,0,0
1,1,1,1,1,1
1,0,1,1,0,0
1,0,0,1,0,0
1,0,1,1,0,0
1,0,0,0,0,0
1,1,1,0,0,0
0,1,0,1,0,0
0,1,0,1,0,0
1,0,0,1,0,0
1,0,1,1,1,0
1,0,0,1,0,0
1,1,1,0,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,0,1,1,1,0
1,1,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,1,1,0,0
0,1,0,1,0,0
1,0,0,1,0,0
1,1,0,1,0,0
0,0,1,1,1,1
1,1,0,0,0,0
0,0,0,1,0,0
1,0,1,1,1,1
0,0,0,1,0,0
0,0,0,1,0,0
1,0,1,0,0,0
1,1,1,1,0,0
1,0,1,1,0,0
0,0,0,1,0,0
1,0,1,1,1,1
1,0,0,1,0,0
0,0,1,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,1,1
0,0,0,1,0,0
1,0,0,1,0,0
1,1,0,0,0,0
0,1,1,0,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,1,1,1,1
0,0,1,1,0,0
0,0,1,0,0,0
1,0,1,0,0,0
0,1,1,1,1,1
0,0,1,1,1,1
0,1,1,0,0,0
1,0,1,1,1,1
1,0,1,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
1,0,1,1,1,1
1,0,0,1,0,0
1,1,1,1,0,0
1,1,1,0,0,0
1,0,1,1,1,1
0,0,0,1,0,0
1,1,1,1,1,1
1,1,0,1,0,0
0,0,0,0,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,1,0,1,0,0
1,1,1,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,1,0,1,0,0
1,0,1,1,1,1
0,0,1,1,1,1
1,0,1,1,1,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,1,1,1,1,1
0,0,1,0,0,0
0,0,0,1,0,0
0,1,0,1,0,0
1,1,1,1,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,0,1,1,1,1
0,1,0,1,0,0
1,1,0,0,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,1,1,1,1
1,0,1,1,0,0
0,0,1,1,0,0
0,0,1,1,1,1
0,0,0,1,0,0
1,0,1,0,0,0
0,1,1,0,0,0
1,0,0,1,0,0
1,1,1,1,1,1
1,0,1,1,1,1
1,0,1,1,1,1
1,0,0,1,0,0
1,1,1,0,0,0
1,0,1,1,1,1
1,0,1,1,1,1
1,0,0,1,0,0
1,1,0,1,0,0
0,1,0,1,0,0
1,0,1,1,1,1
1,0,1,0,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,0,1,1,1,0
1,0,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,1,1,1,1
1,0,0,1,0,0
1,1,0,0,0,0
0,1,0,1,0,0
1,0,1,1,1,1
1,1,1,1,1,1
1,1,0,1,0,0
0,1,1,1,1,1
1,0,0,1,0,0
1,0,1,1,0,0
1,1,0,1,0,0
0,1,0,1,0,0
1,0,1,1,1,1
1,0,0,0,0,0
1,1,1,1,1,1
1,0,1,1,1,1
1,1,0,1,0,0
0,0,0,1,0,0
0,0,1,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
1,1,1,1,0,0
0,0,1,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,1,1,1,1,1
1,0,0,1,0,0
1,0,0,1,1,1
1,0,1,1,1,1
1,0,1,1,1,1
0,0,1,0,0,0
1,0,0,1,0,0
0,0,0,0,0,0
1,1,0,1,0,0
1,1,1,1,1,1
0,0,1,0,0,0
1,0,1,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,1,1,1,0,0
1,0,0,1,0,0
0,1,1,1,1,1
1,0,1,1,1,1
1,0,1,0,0,0
1,0,1,1,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,1,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
0,0,1,1,1,1
1,0,1,1,1,1
0,1,1,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,0,1,0,0
1,1,1,0,0,0
1,0,0,1,0,0
1,1,1,1,0,0
1,0,1,1,1,1
0,1,1,0,0,0
0,1,0,1,0,0
0,0,1,0,0,0
0,1,1,1,1,1
1,1,1,1,1,1
1,1,0,1,0,0
1,0,0,1,0,0
1,0,1,0,0,0
1,0,1,1,1,1
1,0,1,1,1,1
1,0,0,0,0,0
0,1,1,1,0,0
1,0,0,1,0,0
1,1,0,0,0,0
0,0,1,1,1,1
1,0,1,1,1,1
1,0,0,1,0,0
0,1,1,1,1,1
0,1,1,0,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,1,1,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,1,1,1,0,0
0,1,0,1,0,0
1,0,1,1,1,1
0,0,1,1,1,1
0,0,0,1,0,0
0,1,1,1,1,0
1,1,0,1,0,0
0,1,1,1,1,1
0,1,1,1,1,1
1,1,0,0,0,0
1,1,0,1,0,0
0,0,0,1,0,0
0,0,1,1,0,0
0,1,1,0,0,0
0,0,1,1,1,1
1,1,1,1,0,0
0,1,1,1,0,0
1,0,0,1,0,0
1,1,1,1,1,1
1,0,0,1,0,0
1,1,1,0,0,0
0,0,0,1,0,0
0,0,0,1,0,0
1,1,0,1,0,0
1,1,1,1,1,1
0,0,1,0,0,0
0,1,1,1,1,1
1,1,0,1,0,0
0,0,1,0,0,0
0,0,1,0,0,0
1,1,1,1,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
1,1,0,1,0,0
1,1,0,1,0,0
0,0,0,1,0,0
1,1,1,1,1,1
0,0,1,1,1,1
1,1,0,1,0,0
0,0,0,1,0,0
1,1,0,1,0,0
0,1,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
0,1,1,1,1,0
1,0,0,0,0,0
1,1,1,0,0,0
1,1,0,1,0,0
1,0,1,1,1,1
0,0,1,1,1,1
1,1,1,1,1,1
0,1,1,1,1,1
1,0,0,0,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,0,0
1,0,1,1,1,1
1,0,0,1,0,0
0,0,0,0,0,0
1,1,0,1,0,0
1,0,1,1,1,1
0,1,0,1,0,0
1,0,1,1,1,1
1,1,1,1,0,0
0,0,0,1,0,0
1,1,0,0,0,0
1,0,1,1,1,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,0,0,0
0,1,0,1,1,1
1,0,1,1,1,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,0,1,0,0
0,0,0,1,0,0
1,0,1,1,1,1
0,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,0,1,1,1,1
0,1,1,1,1,1
1,0,1,1,1,1
1,0,0,1,0,0
1,1,1,0,0,0
1,0,0,1,0,0
0,0,1,1,0,0
1,1,0,1,0,0
1,1,1,1,1,1
1,0,0,1,0,0
1,0,1,0,0,0
1,0,1,1,1,1
1,1,1,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
0,1,1,1,1,1
1,0,0,1,0,0
0,1,1,1,1,0
1,0,1,1,1,0
1,0,1,0,0,0
1,0,1,1,1,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,1,1,1
0,0,0,1,0,0
1,0,1,0,0,0
1,0,0,1,0,0
1,1,1,1,0,0
0,0,1,1,1,1
1,0,0,1,1,1
1,0,0,0,0,0
1,1,0,0,0,0
1,1,1,1,0,0
1,1,1,1,1,1
1,0,1,1,1,1
1,0,0,0,0,0
1,0,0,1,0,0
1,1,1,0,0,0
1,0,0,1,0,0
1,1,0,1,0,0
1,1,1,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,0,0,0
1,0,1,1,1,1
1,0,0,0,0,0
1,0,1,1,1,1
1,0,1,1,1,0
1,0,1,1,1,1
1,0,0,1,0,0
0,1,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,0,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,1,0,1,0,0
1,0,0,1,0,0
1,1,0,1,0,0
1,1,1,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
0,0,1,1,1,1
0,0,0,0,0,0
1,0,0,1,0,0
1,0,1,1,0,0
0,0,1,0,0,0
1,1,1,1,1,1
1,1,1,1,0,0
1,0,0,1,0,0
1,1,1,1,1,1
1,0,0,1,0,0
0,0,0,1,0,0
1,1,0,1,0,0
1,0,0,1,0,0
0,0,1,1,1,1
1,0,1,1,1,0
1,0,1,1,1,1
0,0,0,1,0,0
1,1,0,0,0,1
0,1,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,1,1,0,0,0
1,1,0,1,0,0
1,0,1,1,0,0
1,0,1,1,1,1
1,0,1,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,1,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,1,1,1
0,0,1,1,0,0
1,0,0,1,0,0
1,1,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,1,0,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
0,0,1,1,1,1
0,1,1,1,1,1
0,1,0,1,0,0
1,0,1,0,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,1,0,0,0,0
1,0,1,1,0,0
1,1,1,1,1,1
1,1,1,1,0,0
1,0,0,1,0,0
1,1,0,1,0,0
1,0,0,1,0,0
1,1,0,1,0,0
0,0,1,1,1,1
1,0,0,1,0,0
1,1,0,1,0,0
1,0,1,1,1,1
0,0,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
1,1,1,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,0,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,0,1,1,1,0
1,1,1,1,1,1
0,0,1,1,1,1
1,0,1,0,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,1,1,1,1,0
1,1,1,1,0,0
1,1,0,1,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,0,0,0,0,0
1,0,1,1,1,1
1,1,0,1,1,1
1,1,0,0,0,0
1,0,1,0,0,0
1,1,1,1,0,0
0,1,1,1,0,0
1,0,0,0,0,0
1,1,1,1,1,1
1,0,0,1,0,0
0,1,1,1,1,1
0,0,0,1,0,0
0,0,1,1,1,1
1,0,0,1,0,0
1,1,1,1,0,0
0,0,1,1,1,1
1,1,0,1,0,0
1,1,0,1,0,0
1,0,1,0,0,0
1,0,1,1,1,1
1,0,1,1,1,1
1,0,1,0,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,0,1,1,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,0,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
0,0,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
0,0,1,1,1,1
1,0,0,1,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,1,1,1,1
1,0,1,1,1,1
1,1,1,0,0,0
0,0,1,1,1,1
0,1,0,1,0,0
1,0,0,0,0,0
1,0,1,1,1,0
1,0,1,1,1,1
1,1,0,1,0,0
1,0,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
0,0,0,1,0,0
1,1,1,1,1,1
1,0,0,1,0,0
0,0,0,1,0,0
1,1,0,1,0,0
1,0,1,1,0,0
1,1,0,1,1,1
1,0,1,1,1,1
0,1,1,1,1,1
1,0,1,1,1,1
0,0,0,0,0,0
1,0,1,1,0,0
1,0,1,0,0,0
1,0,1,1,1,1
0,1,0,1,0,0
1,0,1,1,1,1
1,0,0,0,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,0,1,0,0,0
1,0,0,1,0,0
1,0,1,1,0,0
1,0,0,1,0,0
0,0,1,1,1,1
0,0,1,1,1,0
1,1,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,0,1,1,0,0
1,1,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
1,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
1,0,1,1,1,1
1,1,1,0,0,0
0,1,0,1,0,0
1,1,0,1,0,0
0,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
1,1,0,1,0,0
0,0,1,1,1,1
1,0,0,1,0,0
0,1,1,1,1,0
1,0,1,1,1,1
1,0,0,1,0,0
1,0,1,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,1,0,1,0,0
0,0,0,1,0,0
1,0,1,1,1,1
1,0,0,1,0,0
0,0,0,0,0,0
1,0,1,0,0,0
1,0,0,1,0,0
0,1,0,1,0,0
1,0,1,0,0,0
1,0,1,1,1,1
1,1,1,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,1,1,0,0,0
1,0,1,1,1,1
1,0,1,1,1,0
0,0,1,1,1,1
1,0,1,1,0,0
1,1,1,0,0,0
1,0,0,1,0,0
1,0,1,1,1,1
0,1,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
0,1,0,1,0,0
1,0,0,1,0,0
0,1,1,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,1,1,0,0
0,1,1,1,1,1
1,1,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
1,0,1,0,0,0
1,0,0,0,0,0
0,1,0,1,0,0
1,0,0,1,0,0
0,1,1,1,1,1
1,1,0,1,0,0
1,0,1,1,1,1
0,0,1,1,0,0
1,0,0,0,0,0
1,1,1,0,0,0
1,1,0,1,0,0
1,0,1,0,0,0
1,0,0,0,0,0
1,1,0,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,1,1,1,1
0,0,0,1,0,0
1,0,1,0,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
0,0,1,1,1,1
1,0,0,1,0,0
1,1,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,1,1,1,1,0
1,1,1,1,1,1
1,0,0,1,0,0
0,1,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,1,0,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,1,1,1,1
1,0,1,0,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
0,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
1,0,1,1,1,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,1,0,0
0,0,1,0,0,0
1,1,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
0,0,1,1,1,1
1,0,1,0,0,0
1,1,1,0,0,0
1,0,1,1,1,1
1,0,1,0,0,0
0,1,1,1,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,0,0
1,0,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
1,1,0,1,0,0
1,0,1,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,1,1,1,1
1,1,1,1,1,1
1,0,0,1,0,0
1,0,0,1,0,0
1,1,1,0,0,0
1,0,1,0,0,0
1,0,0,1,0,0
1,1,1,1,1,1
0,0,1,1,1,0
1,1,1,1,1,1
1,0,1,1,1,1
0,1,1,1,1,0
1,0,1,1,1,0
0,0,0,1,0,0
1,1,0,1,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,1,1,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,0,0,0
1,1,1,1,1,0
1,0,0,1,0,0
1,0,1,0,0,0
1,0,1,1,1,1
0,0,1,1,1,1
1,1,0,0,0,0
1,0,1,1,0,0
0,0,0,1,0,0
1,0,1,1,1,1
1,1,1,1,1,1
1,0,1,0,0,0
1,0,0,1,0,0
1,0,1,1,0,0
1,0,0,0,0,0
1,0,1,1,1,0
1,0,0,1,0,0
1,0,1,1,1,0
1,0,1,1,1,1
1,1,0,1,0,0
0,1,0,1,0,0
1,0,0,1,0,0
1,0,1,0,0,0
0,0,0,1,0,0
1,1,1,1,1,1
1,0,0,1,0,0
1,0,1,1,0,0
1,1,1,1,1,1
0,1,1,1,0,0
1,1,0,0,0,0
1,1,0,1,0,0
1,0,1,1,1,1
1,0,1,0,0,0
1,0,0,0,0,1
1,0,1,1,0,0
1,0,1,1,1,1
1,0,0,0,0,0
1,1,0,1,0,0
0,1,0,1,0,0
0,0,1,0,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
1,0,1,1,1,1
0,1,1,1,1,1
1,0,0,1,0,0
0,1,1,1,1,1
0,1,0,1,0,0
1,0,1,1,1,1
0,0,0,1,0,0
0,0,0,1,0,0
1,1,1,1,1,1
1,0,1,1,1,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,1,0,0,0
1,1,0,1,0,0
1,0,1,1,1,0
1,0,0,1,0,0
0,1,1,0,0,0
0,1,0,1,0,0
1,1,0,0,0,0
1,0,0,0,0,0
0,0,1,1,0,0
1,0,0,1,0,0
0,0,1,1,0,0
1,0,1,0,0,0
1,0,1,1,1,1
1,0,0,1,0,0
1,0,1,1,0,0
0,0,1,0,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,0,1,1,0,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,1,0,0
1,0,1,1,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,1,1,1,1,1
0,1,0,1,0,0
1,0,1,1,0,0
1,1,0,1,0,0
1,1,0,0,0,0
0,1,0,1,0,0
1,1,0,1,0,0
0,0,1,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,1,1,0
1,0,1,1,1,1
1,0,0,1,0,0
0,0,1,1,1,1
1,0,1,1,1,1
1,0,1,1,1,1
1,0,0,1,0,0
1,1,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,0,0,0
1,0,0,1,0,0
1,1,1,1,1,1
1,0,1,1,1,1
1,1,0,1,0,0
1,1,0,1,0,0
1,0,0,1,0,0
1,1,1,1,1,1
1,0,1,1,1,0
0,0,1,1,1,1
1,0,1,1,1,1
1,0,0,1,0,0
0,0,1,1,1,1
1,1,1,1,1,1
1,0,1,1,0,0
1,0,0,1,0,0
1,1,1,1,1,1
0,0,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
0,0,1,1,1,0
1,0,0,0,0,0
1,0,0,1,0,0
1,1,1,0,0,0
1,0,1,1,1,1
1,0,1,1,1,1
0,0,1,1,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,0,0,1,0,0
1,1,1,1,1,1
0,0,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
0,0,0,1,0,0
1,0,0,1,0,0
1,1,0,1,0,0
1,1,1,0,0,0
1,0,0,1,0,0
1,0,1,1,1,1
0,1,1,1,1,1
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,1,1,0,0
0,1,1,1,1,1
1,0,1,0,0,0
0,0,0,1,0,0
0,0,1,1,0,0
0,0,1,1,1,1
1,0,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
0,1,1,1,0,0
1,0,1,1,1,1
1,1,0,1,0,0
1,1,0,1,0,0
1,1,1,1,1,1
0,1,1,1,1,1
1,1,1,1,1,1
0,1,1,1,1,1
1,1,1,1,1,1
1,1,0,0,0,0
0,1,1,1,1,1
1,0,0,0,0,0
0,0,0,1,0,0
1,1,0,1,0,0
0,0,1,0,0,0
1,1,0,1,0,0
1,0,1,1,1,0
1,0,1,0,0,0
0,0,1,1,1,1
0,1,1,1,1,1
1,0,0,1,0,0
0,1,1,1,1,1
0,0,1,1,1,1
1,0,1,1,1,1
1,0,0,1,0,0
1,1,0,1,0,0
0,0,1,1,1,1
1,1,1,1,1,1
1,0,0,1,0,0
1,1,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,1,0,0,0,0
1,1,1,0,0,0
1,0,1,0,0,0
0,0,1,1,1,1
1,0,0,1,0,0
0,1,1,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,0,1,1,1,1
1,0,0,1,0,0
1,0,1,0,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
1,0,0,0,0,0
0,0,0,1,0,0
0,0,1,1,1,1
1,0,1,1,1,1
1,0,0,0,0,0
0,0,1,1,1,1
1,0,0,1,0,0
1,0,1,0,0,0
0,0,1,1,1,1
1,0,1,1,1,1
1,0,0,0,0,0
0,0,1,1,0,0
1,0,1,1,0,0
1,0,1,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
0,0,1,0,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,1,0,1,0,1
1,1,1,1,1,1
1,1,0,1,0,0
0,0,1,0,0,0
0,1,1,1,1,1
1,0,0,1,0,0
1,0,1,1,1,1
1,0,1,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
0,1,0,1,0,0
1,0,0,1,0,0
1,0,1,1,1,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,1,1,1,1
0,0,1,1,0,0
1,0,1,1,1,1
1,0,0,1,0,0
1,1,0,0,0,0
0,1,1,1,1,1
1,1,0,1,0,0
0,0,1,1,1,1
1,0,1,1,0,0
1,0,1,1,1,0
0,1,1,1,1,1
1,0,1,1,0,0
1,1,0,1,0,0
1,1,0,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,0,1,1,1,0
0,0,0,1,0,0
1,1,1,1,1,0
1,1,0,1,0,0
1,0,1,1,1,1
1,1,0,1,0,0
1,1,0,0,0,0
1,0,0,1,0,0
0,0,0,1,0,0
0,1,1,0,0,0
1,0,1,1,1,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,0,1,1,1,1
1,0,0,1,0,0
0,0,1,1,1,1
0,0,1,1,1,1
0,0,1,1,1,1
1,0,1,1,1,1
0,0,1,1,1,1
1,0,0,1,0,0
1,0,0,1,0,0
0,1,1,1,1,1
1,1,1,1,1,1
0,0,0,1,0,0
0,0,1,1,1,0
1,0,0,1,0,0
0,0,0,1,0,0
0,0,1,0,0,0
1,0,0,1,0,0
1,1,1,1,1,1
1,1,0,1,0,0
1,1,0,1,0,0
0,0,1,0,0,0
1,1,0,1,0,0
0,1,1,0,0,0
1,1,1,1,1,1
1,0,1,1,1,1
1,0,1,1,1,1
1,0,0,1,0,0
0,0,0,1,0,0
1,0,1,1,0,0
1,0,1,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,1,0,1,0,0
0,0,1,1,1,1
0,0,1,1,0,0
1,0,1,1,1,1
1,0,1,1,1,1
0,0,1,1,1,1
1,0,0,0,0,0
1,0,1,1,1,1
